sse,vr
0x141601AE0,0x141678840
0x141786AB0,0x141810BF8
0x141865D50,0x1419056C8
0x141865D40,0x1419056B8
0x141865CE8,0x141905660
0x14184F078,0x1418EDEB8
0x14184F010,0x1418EDE50
0x14177D3C0,0x141807408
0x141619628,0x141690468
0x14173AB78,0x1417C4D98
0x1416B7B88,0x14173BA98
0x141864698,0x141903FB0
0x141627598,0x14169DC10
0x1417B7258,0x141867690
0x14167D9D8,0x141700AB0
0x1417144D0,0x14179C8A0
0x1415910A0,0x1416098C0
0x1416B0058,0x1417337A8
0x1417492F8,0x1417D1758
0x1416B0028,0x141733778
0x1416D28B0,0x14175ACC0
0x141720B60,0x1417A8F88
0x14158CED8,0x141605928
0x1417BFB10,0x1418700B0
0x1416A27C0,0x1417258C0
0x1416A27B0,0x1417258B0
0x14158C620,0x141604CA8
0x1416402A0,0x1416B86F0
0x14172A2D8,0x1417B2708
0x141658DB0,0x1416D2080
0x1416415E0,0x1416BA040
0x141641648,0x1416BA0A8
0x1416BAFC0,0x14173F730
0x14186CDF8,0x14190C888
0x14179BCB0,0x141826C00
0x1415F7E90,0x14166EBE0
0x141722C80,0x1417AB0A0
0x14172F338,0x1417B7768
0x141722F20,0x1417AB348
0x141722F30,0x1417AB358
0x141757C40,0x1417E00E0
0x141722FB8,0x1417AB3E0
0x141723028,0x1417AB450
0x141757A68,0x1417DFF08
0x1415826C0,0x1415FA490
0x14156FE10,0x1415E7B90
0x14172AA30,0x1417B2E60
0x1417332C8,0x1417BB6F8
0x141725908,0x1417ADD38
0x1415390E8,0x1415B0458
0x1416923D8,0x1417154D8
0x14175C520,0x1417E49A0
0x14170C7D0,0x141794BC0
0x14170D4B8,0x1417958C8
0x1416B7C18,0x14173BB28
0x1416C1218,0x1417478B8
0x1416ACDB0,0x1417303B0
0x1416ACCE0,0x1417302E0
0x141524888,0x14159BBD8
0x141756D60,0x1417DF200
0x14174AA70,0x1417D2ED0
0x141720560,0x1417A8838
0x1416133E8,0x14168A188
0x1416133D8,0x14168A178
0x1417DEA50,0x14188F010
0x141642718,0x1416BB178
0x1417BEB60,0x14186F100
0x1417AE458,0x1418393A8
0x14158D498,0x141605AF8
0x141566960,0x1415DE6B0
0x141867D18,0x141907570
0x1417B70D0,0x141867530
0x1416F7838,0x14177FC88
0x141758ED0,0x1417E1388
0x141538FB8,0x1415B0328
0x141538FD8,0x1415B0348
0x141589728,0x141601E00
0x1417916C8,0x14181C620
0x141856C80,0x1418F62E0
0x1417F4190,0x1418A4750
0x1415A3DB0,0x14161AFA8
0x141604040,0x14167ADE0
0x1415950F8,0x14160C280
0x141601C90,0x141678A18
0x14173B998,0x1417C3868
0x14173B958,0x1417C3848
0x14173B968,0x1417C3858
0x14158DDD0,0x141606828
0x141603538,0x14167A2D8
0x1415A05B8,0x141617748
